GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mps4,org.mps.mutation,SwapMutation,0,51,0,4,0,13,0,4,0,2
mps4,org.mps.crossover,OnePointCrossover,0,92,0,12,0,16,0,8,0,2
mps4,org.mps,EvolutionaryAlgorithmException,3,4,0,0,2,2,1,1,1,1
mps4,org.mps,EvolutionaryAlgorithm,0,192,0,28,0,38,0,23,0,9
mps4,org.mps.selection,TournamentSelection,0,84,0,16,0,20,0,10,0,2
