GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit5-mps-uma,default,ClubDeportivoMain,68,0,0,0,12,0,2,0,2,0
junit5-mps-uma,clubdeportivo,ClubDeportivoAltoRendimiento,0,110,0,12,0,27,0,10,0,4
junit5-mps-uma,clubdeportivo,ClubException,3,4,0,0,2,2,1,1,1,1
junit5-mps-uma,clubdeportivo,ClubDeportivo,0,301,0,40,0,71,0,29,0,9
junit5-mps-uma,clubdeportivo,Grupo,0,195,0,30,0,36,0,27,0,12
